county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,county_full_with_state
Cumberland,Cumberland,Cumberland County,37051,NC,North Carolina,35.0487,-78.8277,335207,"Cumberland County, NC"
St. Lucie,St. Lucie,St. Lucie County,12111,FL,Florida,27.3773,-80.4721,334682,"St. Lucie County, FL"
Henrico,Henrico,Henrico County,51087,VA,Virginia,37.538,-77.4059,333120,"Henrico County, VA"
Howard,Howard,Howard County,24027,MD,Maryland,39.2507,-76.9312,332011,"Howard County, MD"
Weld,Weld,Weld County,8123,CO,Colorado,40.5548,-104.3925,331466,"Weld County, CO"
Spartanburg,Spartanburg,Spartanburg County,45083,SC,South Carolina,34.9309,-81.9908,330119,"Spartanburg County, SC"
Boulder,Boulder,Boulder County,8013,CO,Colorado,40.0925,-105.3577,328658,"Boulder County, CO"
Greater Bridgeport,Greater Bridgeport,Greater Bridgeport Planning Region,9120,CT,Connecticut,41.2428,-73.2314,326381,"Greater Bridgeport Planning Region, CT"
Luzerne,Luzerne,Luzerne County,42079,PA,Pennsylvania,41.177,-75.9892,325396,"Luzerne County, PA"
Durham,Durham,Durham County,37063,NC,North Carolina,36.036,-78.8766,325101,"Durham County, NC"
Lancaster,Lancaster,Lancaster County,31109,NE,Nebraska,40.7842,-96.6878,322063,"Lancaster County, NE"
Escambia,Escambia,Escambia County,12033,FL,Florida,30.669,-87.363,321296,"Escambia County, FL"
Fayette,Fayette,Fayette County,21067,KY,Kentucky,38.0423,-84.4587,321276,"Fayette County, KY"
Rockingham,Rockingham,Rockingham County,33015,NH,New Hampshire,42.9875,-71.1254,315169,"Rockingham County, NH"
Albany,Albany,Albany County,36001,NY,New York,42.6002,-73.9736,315041,"Albany County, NY"
Northampton,Northampton,Northampton County,42095,PA,Pennsylvania,40.7542,-75.3076,314299,"Northampton County, PA"
Lorain,Lorain,Lorain County,39093,OH,Ohio,41.2956,-82.151,313101,"Lorain County, OH"
Lubbock,Lubbock,Lubbock County,48303,TX,Texas,33.6102,-101.8205,311509,"Lubbock County, TX"
McHenry,McHenry,McHenry County,17111,IL,Illinois,42.3244,-88.4523,311133,"McHenry County, IL"
Cumberland,Cumberland,Cumberland County,23005,ME,Maine,43.8466,-70.3996,303357,"Cumberland County, ME"
Gloucester,Gloucester,Gloucester County,34015,NJ,New Jersey,39.7173,-75.1414,302621,"Gloucester County, NJ"
Greene,Greene,Greene County,29077,MO,Missouri,37.2581,-93.342,299188,"Greene County, MO"
St. Louis,St. Louis,St. Louis City,29510,MO,Missouri,38.6358,-90.2451,298018,"St. Louis City, MO"
Dutchess,Dutchess,Dutchess County,36027,NY,New York,41.7652,-73.7429,296467,"Dutchess County, NY"
Clayton,Clayton,Clayton County,13063,GA,Georgia,33.542,-84.3576,296312,"Clayton County, GA"
Chatham,Chatham,Chatham County,13051,GA,Georgia,32.0043,-81.1329,296266,"Chatham County, GA"
Ottawa,Ottawa,Ottawa County,26139,MI,Michigan,42.9599,-85.996,296183,"Ottawa County, MI"
Lexington,Lexington,Lexington County,45063,SC,South Carolina,33.9023,-81.2722,295934,"Lexington County, SC"
Cleveland,Cleveland,Cleveland County,40027,OK,Oklahoma,35.2031,-97.3265,295060,"Cleveland County, OK"
Thurston,Thurston,Thurston County,53067,WA,Washington,46.9256,-122.8333,294272,"Thurston County, WA"
Leon,Leon,Leon County,12073,FL,Florida,30.458,-84.2779,294128,"Leon County, FL"
Anchorage,Anchorage,Anchorage Municipality,2020,AK,Alaska,61.1498,-149.1082,290674,"Anchorage Municipality, AK"
Benton,Benton,Benton County,5007,AR,Arkansas,36.3387,-94.2561,286528,"Benton County, AR"
Dauphin,Dauphin,Dauphin County,42043,PA,Pennsylvania,40.4155,-76.7794,286108,"Dauphin County, PA"
Winnebago,Winnebago,Winnebago County,17201,IL,Illinois,42.3363,-89.1609,284591,"Winnebago County, IL"
York,York,York County,45091,SC,South Carolina,34.9748,-81.1845,282987,"York County, SC"
Ingham,Ingham,Ingham County,26065,MI,Michigan,42.5971,-84.3735,282540,"Ingham County, MI"
Merced,Merced,Merced County,6047,CA,California,37.1919,-120.7177,282290,"Merced County, CA"
San Luis Obispo,San Luis Obispo,San Luis Obispo County,6079,CA,California,35.3871,-120.4044,281712,"San Luis Obispo County, CA"
Southeastern Connecticut,Southeastern Connecticut,Southeastern Connecticut Planning Region,9180,CT,Connecticut,41.5023,-72.1,280293,"Southeastern Connecticut Planning Region, CT"
Alachua,Alachua,Alachua County,12001,FL,Florida,29.6747,-82.3577,279729,"Alachua County, FL"
St. Johns,St. Johns,St. Johns County,12109,FL,Florida,29.9016,-81.4407,278722,"St. Johns County, FL"
Kitsap,Kitsap,Kitsap County,53035,WA,Washington,47.6127,-122.6762,275411,"Kitsap County, WA"
Atlantic,Atlantic,Atlantic County,34001,NJ,New Jersey,39.4778,-74.661,274339,"Atlantic County, NJ"
Frederick,Frederick,Frederick County,24021,MD,Maryland,39.4722,-77.398,273829,"Frederick County, MD"
St. Joseph,St. Joseph,St. Joseph County,18141,IN,Indiana,41.6167,-86.2899,272388,"St. Joseph County, IN"
Erie,Erie,Erie County,42049,PA,Pennsylvania,41.9925,-80.0327,270495,"Erie County, PA"
Buncombe,Buncombe,Buncombe County,37021,NC,North Carolina,35.6112,-82.5301,269449,"Buncombe County, NC"
Washington,Washington,Washington County,27163,MN,Minnesota,45.0388,-92.8838,268651,"Washington County, MN"
Santa Cruz,Santa Cruz,Santa Cruz County,6087,CA,California,37.0562,-122.0018,268571,"Santa Cruz County, CA"
Cherokee,Cherokee,Cherokee County,13057,GA,Georgia,34.244,-84.4762,268567,"Cherokee County, GA"
Brown,Brown,Brown County,55009,WI,Wisconsin,44.4525,-88.0037,268393,"Brown County, WI"
Webb,Webb,Webb County,48479,TX,Texas,27.7611,-99.3315,267282,"Webb County, TX"
St. Tammany,St. Tammany,St. Tammany Parish,22103,LA,Louisiana,30.4103,-89.9584,266168,"St. Tammany Parish, LA"
Madison,Madison,Madison County,17119,IL,Illinois,38.8297,-89.9049,265512,"Madison County, IL"
